zip,city,longitude,latitude,pop,state
02379,West Bridgewater,-71.016054,42.025511,6440,MA
02382,Whitman,-70.938127,42.081603,13208,MA
02401,Brockton,-71.034348,42.081571,59498,MA
02402,Brockton,-71.001947,42.088396,33290,MA
02532,Onset,-70.593168,41.752918,12047,MA
02535,Chilmark,-70.741613,41.357523,952,MA
02536,Teaticket,-70.565174,41.58504,15976,MA
02537,East Sandwich,-70.46822,41.684603,7254,MA
02538,East Wareham,-70.653237,41.768247,4778,MA
02539,Edgartown,-70.533893,41.388856,3062,MA
02540,Falmouth,-70.621663,41.564754,8588,MA
02542,Otis A F B,-70.57383,41.660927,2078,MA
02543,Woods Hole,-70.66431,41.526272,833,MA
02554,Nantucket,-70.093216,41.272529,6012,MA
02556,North Falmouth,-70.623043,41.641677,2651,MA
02559,Pocasset,-70.610512,41.688115,3907,MA
02563,Sandwich,-70.469325,41.698304,9007,MA
02568,Vineyard Haven,-70.593737,41.449955,5924,MA
02571,Wareham,-70.711594,41.754084,9304,MA
02575,West Tisbury,-70.655802,41.413717,1603,MA
02576,West Wareham,-70.764179,41.779617,3919,MA
02601,West Yarmouth,-70.298176,41.653682,14543,MA
02630,Barnstable,-70.300067,41.698289,1776,MA
02631,Brewster,-70.069868,41.749179,8535,MA
02632,Centerville,-70.353196,41.660585,10636,MA
02633,South Chatham,-69.980758,41.687634,4744,MA
02635,Cotuit,-70.433431,41.696025,3266,MA
02638,Dennis,-70.191054,41.732166,3216,MA
02639,Dennis Port,-70.132711,41.664873,2510,MA
02642,Eastham,-69.984865,41.840781,4582,MA
02644,Forestdale,-70.514317,41.682695,2712,MA
02645,Harwich,-70.057929,41.70082,7363,MA
02646,Harwich Port,-70.076755,41.67128,1843,MA
02648,Marstons Mills,-70.416321,41.670274,5777,MA
02649,Mashpee,-70.485361,41.618116,4469,MA
02650,North Chatham,-69.966607,41.70298,995,MA
02652,North Truro,-70.08751,42.033779,834,MA
02653,Orleans,-69.982198,41.779161,5860,MA
02655,Osterville,-70.383726,41.63005,2330,MA
02657,Provincetown,-70.186504,42.053364,3561,MA
02659,South Chatham,-70.024106,41.680126,840,MA
02660,South Dennis,-70.15851,41.709711,6680,MA
02664,Bass River,-70.19731,41.672805,8514,MA
02666,Truro,-70.056362,41.998792,739,MA
02667,Wellfleet,-70.018587,41.928934,2373,MA
02668,West Barnstable,-70.371985,41.700212,2311,MA
02670,West Dennis,-70.168092,41.662557,1347,MA
02671,West Harwich,-70.113501,41.669367,1061,MA
02673,West Yarmouth,-70.236297,41.661367,6972,MA
02675,Yarmouth Port,-70.227014,41.705149,5735,MA
02702,Assonet,-71.060736,41.797458,3614,MA
02703,Attleboro,-71.30092,41.929599,38528,MA
02713,Cuttyhunk,-70.87854,41.443601,98,MA
02715,Dighton,-71.142723,41.812505,1828,MA
02717,East Freetown,-70.967709,41.763455,4883,MA
02718,East Taunton,-71.019225,41.873585,4800,MA
02719,Fairhaven,-70.889608,41.640924,16141,MA
02720,Fall River,-71.139991,41.718221,30600,MA
02721,Fall River,-71.157424,41.688305,26884,MA
02723,Fall River,-71.133214,41.692612,16801,MA
02724,Fall River,-71.174822,41.684975,18141,MA
02725,Somerset,-71.177971,41.722299,2528,MA
02726,Somerset,-71.149206,41.756012,15117,MA
02738,Marion,-70.761261,41.709526,4496,MA
02739,Mattapoisett,-70.816357,41.661845,5850,MA
02740,New Bedford,-70.9372,41.634749,46426,MA
02743,Acushnet,-70.908652,41.6997,9601,MA
02744,New Bedford,-70.916746,41.612716,13424,MA
02745,New Bedford,-70.935545,41.691337,23661,MA
02746,New Bedford,-70.93243,41.659972,16236,MA
02747,North Dartmouth,-70.995769,41.633789,16383,MA
02748,Padanaram Villag,-70.956521,41.591728,10980,MA
02760,North Attleboro,-71.329757,41.977542,22289,MA
02762,Plainville,-71.327454,42.012403,6874,MA
02763,North Attleboro,-71.310353,41.970979,2737,MA
02764,North Dighton,-71.148523,41.852874,3779,MA
02766,Norton,-71.189441,41.971801,14329,MA
02767,Raynham,-71.046856,41.932361,9804,MA
02769,Rehoboth,-71.254453,41.85152,7762,MA
02770,Rochester,-70.852257,41.759082,3270,MA
02771,Seekonk,-71.322406,41.837835,13375,MA
02777,Swansea,-71.212167,41.74734,15865,MA
02779,Berkley,-71.076534,41.835325,4438,MA
02780,Taunton,-71.10261,41.905007,44894,MA
02790,Westport,-71.089003,41.621127,14154,MA
02804,Ashaway,-71.783745,41.423054,2472,RI
02806,Barrington,-71.317497,41.744334,15849,RI
02807,Block Island,-71.574825,41.171546,836,RI
02808,Bradford,-71.746453,41.411448,2184,RI
02809,Bristol,-71.267558,41.68247,21625,RI
02812,Richmond,-71.650279,41.46941,1011,RI
02813,Charlestown,-71.661455,41.400749,6663,RI
02814,Chepachet,-71.679483,41.91549,8191,RI
02815,Clayville,-71.670589,41.777762,45,RI
02816,Coventry,-71.576794,41.69143,29842,RI
02817,West Greenwich,-71.643549,41.639977,3246,RI
02818,East Greenwich,-71.474009,41.649777,16180,RI
02822,Exeter,-71.607626,41.574031,3774,RI
02825,Foster,-71.718748,41.781455,5175,RI
02827,Greene,-71.735607,41.706151,1241,RI
02828,Greenville,-71.556923,41.873409,6945,RI
02830,Harrisville,-71.653405,41.976379,6384,RI
02831,Hope,-71.561225,41.751603,3653,RI
02832,Richmond,-71.734862,41.506974,3466,RI
02835,Jamestown,-71.376108,41.516405,4999,RI
02836,Richmond,-71.683992,41.477694,183,RI
02837,Little Compton,-71.161215,41.52204,3341,RI
02838,Manville,-71.474113,41.96888,3259,RI
02840,Middletown,-71.30348,41.504502,47687,RI
02852,North Kingstown,-71.462494,41.589426,22325,RI
02857,North Scituate,-71.624187,41.8439,9563,RI
02858,Oakland,-71.642925,41.963637,462,RI
02859,Pascoag,-71.709866,41.962728,7156,RI
02860,Pawtucket,-71.390713,41.872873,45442,RI
02861,Pawtucket,-71.356001,41.881384,27013,RI
02863,Central Falls,-71.394527,41.888263,17380,RI
02864,Cumberland,-71.415419,41.948352,29327,RI
02865,Lincoln,-71.434777,41.908906,14765,RI
02871,Portsmouth,-71.252018,41.594397,16707,RI
02872,Prudence Island,-71.311827,41.613606,150,RI
02874,Saunderstown,-71.442693,41.510528,3196,RI
02876,Slatersville,-71.5682,42.001478,639,RI
02877,Slocum,-71.537169,41.521237,1114,RI
02878,Tiverton,-71.180823,41.633839,14310,RI
02879,Narragansett,-71.525138,41.430195,13422,RI
02881,Kingston,-71.529239,41.480295,7683,RI
02882,Narragansett,-71.46164,41.435313,13596,RI
02883,Peace Dale,-71.500057,41.45157,1652,RI
02885,Warren,-71.270165,41.725618,11385,RI
02886,Warwick,-71.447591,41.702601,40845,RI
02888,Warwick,-71.40836,41.74936,20869,RI
02889,Warwick,-71.390146,41.714069,20849,RI
02891,Westerly,-71.812643,41.369128,20290,RI
02892,Richmond,-71.599076,41.506716,3943,RI
02893,West Warwick,-71.518349,41.700433,27821,RI
02894,Wood River Junct,-71.709512,41.453771,684,RI
02895,North Smithfield,-71.513683,41.99948,53733,RI
02898,Richmond,-71.683973,41.523362,1508,RI
02903,Providence,-71.415801,41.820002,9093,RI
02904,Centredale,-71.438102,41.860461,28119,RI
02905,Cranston,-71.403146,41.786568,24885,RI
02906,Providence,-71.397065,41.835104,31069,RI
02907,Cranston,-71.424039,41.800842,25668,RI
02908,Providence,-71.437684,41.838294,35933,RI
02909,Cranston,-71.448165,41.816777,34261,RI
02910,Cranston,-71.438331,41.776572,21128,RI
02911,Centredale,-71.474058,41.853412,13858,RI
02914,East Providence,-71.368785,41.813777,22965,RI
02915,Riverside,-71.354244,41.772313,18934,RI
02916,Rumford,-71.355938,41.842472,8550,RI
02917,Smithfield,-71.520666,41.896382,12213,RI
02919,Cranston,-71.497646,41.826431,26575,RI
02920,Cranston,-71.465889,41.77157,37385,RI
02921,Cranston,-71.506102,41.761357,6502,RI
03031,Amherst,-71.607536,42.856944,8998,NH
03032,Auburn,-71.344892,42.992529,4085,NH
